|Count
Caliari, Benedetto|4
Keyser, Jacob|4
Deroy, François|4
Klerk, Michel de|4
Arondeaux, Reynier|4
Hoskins, John|4
Aert van Tricht|4
Klopper, Johannes|4
Turk, L.K.|4
Lauwers, Nicolaes|4
Taito II, Katsushika|4
Luder, Jan|4
Bijlaard, Jan|4
Wijntgens, Balthasar|4
Het Oude Moriaenshoofd|4
Hosspanion, Johannes|4
Hecke, Jan van den (II)|4
Liefland, Joannes van|4
Cuyp, Benjamin Gerritsz|4
Vermeer, Johannes|4
Marmion, Simon|4
Piero di Cosimo|4
Schall, Jean Frédéric|4
Raeven, Servatius|4
Prins, Johannes Huibert|4
Somer, Paul van (II)|4
Merian, Maria Sibylla|4
Bentvelt, Theodorus Gerardus|4
Waanders, Franciscus Bernardus|4
Hoogstraten, Cornelis Adrianus van|4
Henzi, Rudolf|4
Aeneae, Hendrik|4
Palin, Martin|4
Schoevaerdts, Matthijs|4
Eisen, Charles Joseph Dominique|4
Mijn, George van der|4
Bouché, Peter Paul|4
Prud'hon, Pierre|4
Portman, Christiaan Julius Lodewijk|4
Kuipers, Dirk|4
Bevere, Pieter de|4
Rivard, Claude|4
Hulsbergh, Hendrick|4
Moninckx, Pieter|4
Buysen, Pieter van (jr)|4
Probst, Georg Mathäus|4
Gucht, Maximiliaan van der|4
Vries, Adriaen de|4
Sakuma Soen Akira|4
Meester PC|4
Cooper, Alexander|4
Vinkeles, Johannes|4
Braun, Adolphe|4
Suly, Nicolas|4
Witte, Peter de|4
Jonckheer, Jacob de|4
Schwachhofer, Johann Joseph|4
Zoan Andrea|4
Ingres, Jean Auguste Dominique|4
Hem, Carel van der|4
Coppier, de|4
Maenbeeck, Michiel|4
Vries, Abraham de|4
Quineau, Gideon|4
Berghe, Willem Jan van den|4
Kemaer, Jan|4
Stebbing, George|4
Beckers, Mattis|4
Wolff, Benjamin|4
Kneller, Gottfried|4
Schön, Erhard|4
Hisgen, Julius Heinrich|4
Vliet, Willem van|4
Duck, Jacob|4
Casolani, Alessandro|4
Grofsmederij Leiden|4
Brugghen, Hendrick ter|4
Herregouts, Jan Baptist|4
Claudet, Antoine François Jean|4
Darcis, Jean Louis|4
Tintoretto, Domenico|4
Alinari, Fratelli|4
Wall, Willem Hendrik van der|4
Masanobu, Kitao|4
Delessert, Benjamin|4
Lesueur, Eustache|4
Corver, Marten|4
Smith, J.|4
Reygers, Johannes Hubertus|4
Lelienbergh, Cornelis|4
Mey, Raphael de|4
Valck, Leonardus|4
Pordenone|4
Heda, Willem Claesz.|4
Schwegman, Hendrik|4
Earlom, Richard|4
Cameron, Julia Margaret|4
Lint, Peter van|4
Chalon, Louis|4
Sadeler, Johannes (II)|4
Cars, Laurent|4
Baak, C.|4
Beeck, Anna|4
Langweer, P.|4
Micker, Laurent Jansz|4
Kate, Mari ten|4
Vroom, Cornelis Hendriksz.|4
Gheyn, Guilliam de|4
Bleuland, Jan|4
Goes, Hugo van der|4
Masanobu, Okumura|4
Broeck, Barbara van den|4
Shunko, Katsukawa|4
Hokkei, Totoya|4
Strant, Daniël van|4
Schultsz, Johan Christoffel|4
Key, Adriaen Thomasz.|4
Dannoot, Peter|4
Ampt, F.H.|4
Merlen, Cornelis van|4
Anraedt, Pieter van|4
Monogrammist MHS|4
Meester van de Heilige Elisabeth-Panelen|4
Roos, Johann Heinrich|4
Watelet, Claude Henri|4
Verschuur, Wouterus (zilversmid)|4
Schuijt, Pieter (Jr)|4
Visscher, Nicolaes (II)|4
Hönnig, Johann Lorenz|4
Somerwil, Pieter van (II)|4
Hussem, Dirk|4
Oliver, Isaac|4
Bry, Johann Israel de|4
Beveren, Charles van|4
Condet, Johannes|4
Jegher, Jan Christoffel|4
Jügel, Friedrich|4
Nederlandsche Stoomboot Maatschappij Feijenoord|4
Craeyvanger, Reinier|4
Springer, Cornelis|4
Hoevenaar Wz, Josef|4
Croese, Floris|4
Elliger, Ottmar (II)|4
Dam, Wouter|4
Gebhardt & Rottmann & Co.|4
Monogrammist L (graveur, Nederland)|4
Kessel, Jan van (1641-1680)|4
Voet 88|4
Weuyster, J.|4
Ehrlich, Christa|4
Du Paquier|4
Keller, Georg|4
David, Giovanni|4
Schmidt, Willem Hendrik|4
Meyer, Aldert|4
Bray, Salomon de|4
Bergh, Jan van den|4
Lageman, Johannes Michiel|4
Heel, Johann Wilhelm|4
Guicherit, Daniël Jean|4
Diest, Adriaen van|4
Box, Nicolaas|4
Verrocchio, Andrea del|4
Collan, Jacques|4
Sonjé, Jan Gabrielsz.|4
Murant, Emanuel|4
Schardt, Jan Gregor van der|4
Dadler, Sebastian|4
Mallery, Philippe van|4
Adolphi, Christoffel|4
Manufacture Royale de Beauvais|4
Meyer, Conrad|4
Goutsbloem, Cornelis|4
Lokhorst, Dirk van|4
Penterman, Gerrit de Oude|4
Pitau, Jacob|4
Burgerhuys, Johannes|4
Snellinck, Jan (I)|4
Pluygers, Johannes Henricus|4
Mellan, Claude|4
Drift, Johannes Adrianus van der|4
Giordano, Luca|4
Thyssen, I.|4
Bartolini, Lorenzo|4
Dughet, Gaspard|4
Goedaert, Johannes|4
Pécoul, Adolphe|4
Dekker, Rasmus|4
Fourvières|4
Zeeman, Abraham|4
Vivares, François|4
Hoch, Johann Gustav|4
Bodenehr, Georg Conrad|4
Piroli, Tommaso|4
Wright, Benjamin|4
Kok, Jacobus|4
Pierre, Jean Baptiste Marie|4
Monogrammist VG (16e eeuw)|4
Peeters, Jan (I)|4
Gool, Jan van|4
Oorlofs, Erasmus|4
Ridinger, Johann Elias|4
Remmers, Pieter|4
Tassaert, Philippe Joseph|4
Barbier, Jan Pieter|4
Loten, J.G.|4
Calvert, Edward|4
Saint-Aubin, Augustin de|4
Dadelbeek, Gerrit|4
Ekels, Jan (I)|4
Cardon, Philippe|4
Monogrammist HFE|4
Caymox, Balthasar|4
Cortona, Pietro da|4
Reysschoot, Petrus Johannes van|4
Thone, Lambertus Michaelis|4
Hoedt, Jacob Hugo|4
Kuipers, Hendrik|4
Kolbe, Carl Wilhelm (I)|4
Faber, John (II)|4
Herreyns, Daniël (I)|4
Briosco, Andrea|4
Meester van de Paardenhoofden|4
Bouttats, Frederik (de Jonge)|4
Lalique, René|3
Logteren, Ignatius van|3
Os, Georgius Jacobus Johannes van|3
Monogrammist CI (17e eeuw)|3
Coeman, Jacob|3
Piemont, Nicolaes|3
Hout, Claes Jansz van der|3
Jansen, H.G.|3
Piranesi, Francesco|3
Aeneae, Petrus|3
Jenichen, Balthasar|3
Westerhof|3
Berghe, Ignatius Joseph van den|3
Sesseler, W.H.|3
Meesen, Peter|3
Scheerboom, A.|3
Noman, Johannes|3
Immenraet, Jan Carel|3
Kishi Ganku|3
Kleijn, Pieter Rudolph|3
Rietschoof, Jan Claesz.|3
Gosei, Hotei|3
Dijck, Cornelis van|3
Demarne, Jean Louis|3
Janssens van Ceulen, Cornelis (II)|3
Chaplet, Ernest|3
Croos, Anthonie Jansz. van der|3
Brignol|3
Réveil, Etienne Acille|3
Sleuman, Frederik|3
Bononi, Carlo|3
Fontana, Giovanni Battista|3
Deventer, Hendrik van|3
Pierre, Michel de la|3
Grill, Andries|3
Van Gingelen, Jacques|3
Pâris, Pierre Adrien|3
Bassano, Leandro|3
Witsen Geysbeek, Frederik Nicolaas Horatius|3
Meyer, Rudolph|3
Williams, Hugh William|3
Groot en Zoonen, Anthoni de|3
Boissieu, Jean Jacques de|3
Cloon, Jan van|3
Diest, Jeronymus van (II)|3
Hokuga, Karyosai|3
Delff, Jacob Willemsz. (I)|3
Aspruck, Franz|3
Wtenbrouck, Moyses van|3
Oortman, Jan (Sr.)|3
Beuckelaer, Joachim|3
Bentam, Charles|3
Moronobu, Hishikawa|3
Droogbrood, Wernand|3
Passeri, Giuseppe|3
Gheeraerts, Marcus|3
Hertsens, Isabella|3
Kager, Johann Mathias|3
Sasaya|3
Vernet, Carle|3
Friedrich, Caspar David|3
Deth, Lubertus Teunis van|3
Hesselaar, H.Th.|3
Furne Fils & H. Tournier|3
Schutte, Rutger|3
Trevisani, Francesco|3
Broen, Johannes de|3
Le Blon, Christiaan|3
Brüggemann, Theodor|3
Edelinck, Gaspar François|3
Stad Leiden|3
Cellieé, Abraham du|3
Uppink, Willem|3
Scultori, Adamo|3
Meester van de Amsterdamse Dood van Maria|3
Stellingwerff, Jacob Hendrik|3
Guérard, Nicolas|3
Solingen, Jan van [I]|3
Haan, Louis de|3
Hilten, Jan van|3
Melling, Antoine Ignace|3
Wille, Johann Georg|3
Coxie, Michiel (I)|3
Ravenswaay, Jan van|3
Cock, Pseudo Jan Wellens de|3
Bruining, Bernardus|3
Partout, H.|3
Codde, Pieter|3
Toshu, Agamatu|3
Muntinck, Gerrit|3
Toshinobu, Okumura|3
Rosel, Adriaan|3
Morel, Jan Evert (I)|3
Alberti, Joannes Echarius Carolus|3
Grundy, William Morris|3
diverse vervaardigers|3
Cock, Jan Wellens de|3
Lange, Jan de|3
Nieulandt, Adriaen van (I)|3
Pseudo-Aert Ortkens|3
Carracci, A.|3
Barbiers, Pieter Pietersz.|3
Gilbert, W.|3
Troy, Jean François de|3
Bentinck, Jean Charles|3
Willaerts, Abraham|3
Gevers, Pieter|3
Green, Valentine|3
Schinkel, Karl Friedrich|3
Bolomey, Benjamin Samuel|3
Mesdag, Hendrik Willem|3
Cremer van den Berch van Heemstede, jhr. Isaac Lambertus|3
Sluyter, Pieter|3
Hokutei, Eisai|3
Hokuei, Shunbasai|3
Lexmond, Johannes van|3
Philips, Anna Elisabeth|3
Victors, Jan|3
Vinne, Isaac Vincentsz. van der|3
Carree, Michiel|3
Desprez, Louis Jean|3
Mittscherlich, Christoffel|3
Gillbank, H.|3
Wierix, Jan|3
Nucci, Avanzino|3
Cool, Petrus|3
Bilhamer, Joost Jansz.|3
Lombard, Pierre|3
Gillot, Claude|3
Ducrollay, Jean Charles|3
Burg, Dirk van der|3
Monogrammist JS (Frankrijk)|3
Baurscheit, Jan Pieter van (de Oude)|3
Robijn, Jacobus|3
Cortese, Guglielmo|3
Sardi, P|3
Kloekhoff, Hendrik|3
Waumans, Coenraad|3
Visscher, Nicolaes (I)|3
Mennicken, Jan Baldems|3
Behr, Carel Jacobus|3
Visser Bender, Joannes Pieter|3
Sadahide, Utagawa|3
Kempen, Johannes Mattheus van|3
Verdussen, Jan Peeter|3
Bossuit, Francis van|3
Napier & Sons, R.|3
Gaal, Jac. Franc.|3
Andrea di Cosimo|3
Latour, Jan|3
Arnt van Zwolle|3
Mander, Karel van (I)|3
Knüpfer, Nicolaes|3
Goor, Gerrit van|3
Brune, Pieter de|3
Braun, Augustin|3
Verschuier, Lieve Pietersz.|3
Troyen, Jan van|3
Obreen, W.M.|3
Carmontelle, Louis de|3
Ghirlandaio, Domenico|3
Challe, Charles Michel-Ange|3
Persoy, Pieter|3
Wilkin, J|3
Trinquesse, Louis Rolland|3
Campiglia, Giovanni Domenico|3
Procaccini, Camillo|3
Heylbroeck, Michael|3
Beek, Pieter van der|3
Bloemen, Norbert van|3
Monogrammist CG (Duitsland)|3
Hemelryck, Jean Louis van|3
Tol, Domenicus van|3
Canaletto|3
Huybrechts, Franz|3
Boulle, André-Charles|3
Angolo del Moro, Battista|3
Helst, Lodewijk van der|3
Brandt, Reynier|3
Rotius, Jan Albertsz.|3
Haan, Reynier de|3
Stokvis, M.|3
Fortuyn, 't|3
Verdier, François|3
Hugenholz, H.J.|3
Vitringa, Wigerus|3
Odevaere, Joseph Denis|3
Jongh, Ludolf de|3
Middelhuysen, Jan Hendrik|3
Meester van de Brunswijkse Diptiek|3
Vertangen, Daniel|3
Looyen, Martinus van|3
Roccatagliata, Niccolò|3
Bechameil|3
Knogh, Paulus|3
Smissen, Jacob van der|3
Cantagallina, Remigio|3
Koning, Elisabeth Johanna|3
Liernur, Paulus Anthonius|3
Jamnitzer, Wenzel|3
Hanfstaengl, Franz Seraph|3
Larmessin, Nicolas de (IV)|3
Laroon, Marcellus (I)|3
Reiff, Johann Conrad|3
Lanfranco, Giovanni|3
Bodart, Pieter|3
Groot, Anthoni de|3
Falconetto, Angelo|3
Daniele da Volterra|3
Soukens, Hendrik|3
Budde, Hendrik|3
Bernieri, Caldesi & Co.|3
Boitard, François|3
Rogiers, Salomon|3
Schifflin, Georg Heinrich|3
Hokuga, Hotei|3
Martini, David Johannes|3
Pomarancio, Cristoforo|3
Wyssenbach, Rudolf|3
Horemans, Jan Josef (II)|3
Wegewart, Willem (I)|3
Lundens, Gerrit|3
Floris, Frans (I)|3
Monogrammist AS (Duits; graveur)|3
Ziesenis, Johannes|3
Isaac, Jaspar de|3
Rijnhout, Boele|3
Ashiyuki, Gigado|3
Beek, Jacob ter|3
Molard, Michel|3
Loofs, Adam|3
Lallemand, Jean Baptiste|3
Dassier, Jean|3
Lely, Peter (Sir)|3
Patinir, Joachim|3
Schreuder, mejuffrouw H.|3
Staveren, Jan Adriaensz. van|3
Couwenberch, Gilles van|3
Hennequin, Philippe Auguste|3
Michelangelo|3
Dubordieu, Pieter|3
Questiers, Catharina|3
Drappentier, Johannes (voor 1669-na 1713)|3
Beato, Felice|3
Kuijl, Gerard van|3
Chalon, Hendrik|3
Monogrammist CL|3
Proger, Gilich Kilian|3
L'Ambre, Jacob de|3
Verburgh, Gerardus Johannes|3
Hamersvelt, Evert Simonsz|3
Roos, Jacob|3
Saracchi|3
Toyoharu, Utagawa|3
Asch, Pieter Jansz. van|3
Myn, Andreas van der|3
Bonasone, Giulio|3
Le Blon, Jacob Christof|3
Wierix, Antonie (II)|3
Rosselli, Matteo|3
Bruggen, Jan van der|3
Kazan, Ishikawa|3
Quercia, Jacopo della|3
Italia, Salomon|3
Mensma, Alger|3
Oudendijck, Adriaen|3
Phaff, Loch.|3
Verelst, Pieter Hermansz.|3
Doomer, Herman|3
Colom, Arnold|3
Frickhinger, Friedrich|3
Monogrammist AL (16e eeuw)|3
Eisen, François|3
Donatello|3
Simonneau, Charles Louis|3
Morel, Jan Evert (II)|3
Leon, Maurits|3
Hulst, Pieter van der (IV)|3
Haanen, George Gillis|3
Dubois, J.|3
Cock, weduwe Hieronymus|3
Châtillon, Louis de|3
Ryck, Willem de|3
Duchemin, Isaac|3
Berckman, Hendrick|3
Porcellis, Jan|3
Kock, Melis Jansz|3
Steyn, Johannes|3
Gallé, Émile|3
Homius, Joan|3
Agricola, Karl Joseph Aloys|3
Raper, George|3
Snayers, Peter|3
Wolf, Jeremias|3
Linnell, John (II)|3
Murillo, Bartolomé Esteban|3
Weerdt, Adriaan de|3
Weissenbruch, Jan|3
Os, Jan van|3
Lambrechtsz, Gerrit|3
Winghe, Joos van|3
Mottet, P.|3
Rijkswerf Vlissingen|3
Nadar, Félix|3
Schiavone|3
Veer, Gerrit de|3
Groignard|3
Brugman, Willem|3
Drevet, Pierre|3
Tangena, Johannes|3
Kinsbergen, jhr. Jan Hendrik van|3
Tomson, Nicolas|3
Gijzen, Frederic|3
Dona, Antonie Franciscus|3
Ditmar, Jan Jonas|3
Withoos, Alida|3
La Courtille|3
Decker, Cornelis Gerritsz|3
Lageman, Hendrik|3
Atkins, Anna|3
Covitré, Jean|3
Meester PW van Keulen|3
Martin, L.E.C.|3
Geertgen tot Sint Jans|3
Mayer, Louis|3
Douvermann, Hendrick|3
Andrain, Lucien|3
Carpioni, Giulio (il Vecchio)|3
Daubigny, Charles François|3
Millies, Jacobus|3
Scholten, Hendrik Jacobus|3
Roentgen, David|3
Beman, Jan Daniel|3
Kason, Suzuki|3
Krayenhoff, Cornelis Rudolphus Theodorus|3
Oppenort, Gilles Marie|3
Deur, Jacobus|3
Arumtsma, Sixtus Regnier|3
Neck, Jan van|3
Canuti, Domenico Maria|3
Hanneman, Adriaen|3
Rottermont, Adriaen Symonsz.|3
Gabriël, Paul Joseph Constantin|3
Verhout, Constantijn|3
Tesi, Mauro Antonio|3
Moroni, Giambattista|3
Nachenius, Jacob Jan|3
Steen, Jan van der|3
Massijs, Quinten (I)|3
Krug, Ludwig|3
Flinck, Nicolaes Anthoni|3
Flötner, Peter|3
Kick, W.|3
Bourdon, Sébastien|3
Blaeu-Laken, Cornelis Willemsz|3
Rheen, Theodorus Justinus|3
Halpern, Lea|3
Schouten, Gilbert|3
Annan, Thomas|3
Coppenol, Lieven Willemsz.|3
Bibiena, Giuseppe Galli|3
Lairesse, Jan de|3
Hawkins, R.F.|3
Monogrammist IVR (17e eeuw)|3
Carracci, Lodovico|3
Scheffer, Johan Bernard|3
Stein, Gottfried|3
Hoogerheyden, Engel|3
Boscoli, Andrea|3
Lintheimer, Catharina|3
Lodewyck, Hendrick|3
Anspach, Johan|3
Velde, Jan Jansz. van de (III)|3
Huysum, Michiel van|3
Pannemaker, Wilhelm de|3
Bergen, Dirck van|3
Griendt, Cornelis de|3
Heurn, Cornelis van|3
Staten van Holland en West-Friesland|3
Versteegh, Michiel|3
Doncker, Herman Meynderts|3
Guélard, Jean Baptiste|3
Allori, Alessandro|3
Huygens, Christian|3
Ferrari, Gaudenzio|3
Heck, Claes Jacobsz. van der|3
Appel, Jacob (I)|3
Bronkhorst, Johannes|3
Laan, P. van der|3
Priee, Philippus|3
Manufacture de la Savonnerie|3
Meijer, Hendrick de|3
Meester van de Dood van Absalom|3
Lafreri, Antonio|3
Brady, Mathew B.|3
Snoek, Jeremias|3
Boit, Charles|3
Haanebrink, Willem Albertus|3
Boer, jhr. H. E. de|3
Barbiers, Pieter|3
Pluym, Karel van der|3
Spada, Leonello|3
Broedelet, Jan|3
Braquenié Frères|3
Wyntgis, Evert|3
Anderson, James|3
Baillie, William|3
Neer, Eglon van der|3
Sherwin, William|3
Shunsen, Katsukawa|3
Fürstenberg|3
Swierinck, Hendrik|3
Israëls, Jozef|3
Fricot, Franciscus Josephus|3
Gimignani, Giacinto|3
Cranenburgh, Pieter van|3
Jacob, Georges|3
India, Bernardino|3
Uffenbach, Philipp|3
Man, Jacobus de|3
Wilson, Richard|3
Augustini, Jacobus Luberti|3
Koch, Joseph Anton|3
Schwartze, Johann Georg|3
Eelkema, Eelke Jelles|3
Solimena, Francesco|3
Krans, Jan Jr.|3
Peyron, Jean François Pierre|3
Bel, Claes|3
Labouchere, Antoine Marie|3
Dubois, Guillaume|3
Bouttats, Pieter Balthasar|3
Courtois, Jacques|3
Nadar, Paul|3
Storck, Jacobus|3
Wouwerman, Pieter|3
Goorberg, Willem van den|3
Bossart, Robert|3
Casteleyn, Casper|3
Cloeter, Jan|3
Visscher, Claes Jansz. (I)|3
Lenormand, Charles|3
Troost, Willem (I)|3
Holtzhey, Martin|3
Hachin, L.|3
Hilliard, Nicholas|3
Glauber, Johannes Gottlieb|3
Bakhuyzen, Alexander Hieronymus (Jr.)|3
Moninckx, Machtelt|2
Eyck, Barthélémy d'|2
Hennekyn, Paulus|2
Ficke, Nicolaes|2
Salamanca, Antonio|2
Verbruggen, Pieter (1735-1786)|2
Coustain, Pierre|2
Willeboirts Bosschaert, Thomas|2
Fontenay, Louis Henri de|2
Froment-Meurice, François Désiré|2
Vannini, Ottavio|2
Meester van de Vrouwelijke Halffiguren|2
Fokke Simonsz, Arend|2
Battem, Gerrit van (de Oude)|2
Wolters-van Pee, Henriëtte|2
Huchong|2
Vavassore, Giovanni Andrea|2
Bergh, Nicolas van den|2
Huygens, Frederik Lodewijk|2
Monogrammist LB (Nederlanden)|2
Langlois, François|2
Xavery, weduwe Jan Baptist|2
Brandt, Albertus Jonas|2
Uyl, Jan Jansz. den (II)|2
Cuypers, Pierre Joseph Hubert|2
Meester II met doodshoofd|2
Jacobsz., Dirck|2
Ansaldo, Giovanni Andrea|2
Valeriani, Giuseppe|2
Sangallo, Giuliano da|2
Zugno, Francesco|2
Haas, Meno|2
Mondekens, Paulus|2
Ploy, Willem Jansz.|2
Verstralen, Hendrik Jansz.|2
Grebner, Willem|2
Zegelaar, Gerrit|2
Allori, Cristofano|2
Schuer, Theodoor van der|2
Limborch, Michiel D.van|2
Bregmagher, J.M.|2
Lucas, Engelbert|2
Meulemans, Adriaan|2
Vermeulen, Andries|2
Gole, Pierre|2
Verbruggen, Suzanna|2
Brown, Henry|2
Lievens, Jan Andrea|2
Granacci, Francesco|2
Aubert, Louis|2
Fantuzzi, Antonio|2
Scholting, Hendrik|2
Schouten, Jan|2
Heere, Lukas de|2
Loo, Carle van|2
Bourne & Shepherd|2
Zanten, Cornelis van|2
Henke, Hs.|2
Commodi, Andrea|2
Schouten, Johannes|2
Jemaar, Jan Vos|2
Collaert, Guillaume|2
Bendorp, Carel Frederik (II)|2
Stewart, Doug|2
Lelue|2
Brown|2
Verwilt, François|2
Calker, Barend Christiaan van|2
Durleu, A.|2
Ferrier, Leonard Jozef|2
Schooten, Joris van|2
Huysum, Justus van (II)|2
Hendericks, L.|2
Longueil, Joseph de|2
Maes, Everard Crynsz. van der|2
Lens, Bernard (II)|2
Probst, Johann Balthasar|2
Cronenburg, Adriaen van|2
Prestel, Johann Gottlieb|2
Visser, Adrianus de|2
Linden, Cornelis over de|2
Dalen, Cornelis van|2
Donnet, Hendrik|2
Zündt, Mathis|2
Bassen, Bartholomeus van|2
Schouten, Andries|2
Lier, Gebroeders van|2
Etten, Ferdinand|2
Houtman|2
Roepel, Coenraet|2
Heus, Hendrik de|2
Martin, J. (fotograaf)|2
Montelupo, Raffaele da|2
Vredeman de Vries, Hans|2
monogrammist HI|2
Cesi, Bartolomeo|2
Velde, Peter van de|2
Bergh, Matthys van den|2
Bruyn, Johannes Cornelis de|2
Seaward, Samuel|2
Groot & Zoonen, Anthoni de|2
Effemans, Abraham|2
Ruviale, Francesco|2
Swinburne, Henry|2
Calandrucci, Giacinto|2
Cocq, Cornelis de|2
Hokuga (Hotei)|2
Gericke, Johan Werner|2
Gavasetti, Camillo|2
Blondeel, Lancelot|2
Depré, J.|2
Lowe, R.|2
Staats, Arie|2
Dickmann, Aegidius|2
Rosart & Comp. J.F.|2
Henneman, Nicolaas|2
Cornely, Andrea|2
Beert, Osias|2
Berg, Gijsbertus Johannus van den|2
Meester met het doorstoken hart|2
Clérisseau, Charles Louis|2
Schoor, Aelbert Jansz. van der|2
Lamertijn, Paschier|2
Turner, Joseph Mallord William|2
Salimbeni, Ventura|2
Eishin, Kikugawa|2
Quaglio, Lorenzo (II)|2
Sandrart, Jakob von|2
Jooste, Pieter|2
Hondt, Lambert de (II)|2
Spilberg, Johannes (II)|2
Weirotter, Franz Edmund|2
Graeff, Leonardus|2
Stom, Matthias|2
Köler, Georg|2
Marianus, Joseph|2
Heinsius, Johannes|2
Starnina, Gherardo|2
Mares, Paul|2
Deck, Théodore|2
Barbazza, Antonio Giuseppe|2
Durand-Brager & Lassimonne|2
Valck, H. de|2
Bruijn, P.A.|2
Bruyn, Jan|2
Chappe, Claude|2
Aa, Christianus Petrus Eliza Robidé van der|2
Coypel, Antoine|2
Orsi, Lelio|2
Vaster, Frederik|2
Gabriël, Paulus Joseph|2
Baudewijns, Frans|2
Claessens, J.L.|2
Ochtervelt, Jacob|2
Poorter, Bastiaan de|2
Bigari, Vittorio Maria|2
Mazzolino, Lodovico|2
Breckerveld, Jozua|2
Werner, Joseph|2
Pellegrini, Giovanni Antonio|2
Walsen, Paulus van|2
Torri, Flaminio|2
Streignard, A.|2
Lesueur, Blaise Nicolas|2
Schotel, Petrus Johannes|2
Puppini, Biagio|2
Heaton, G.M.|2
Meester van de Utrechtse Vrouwenkop|2
Monogrammist PL (tekenaar)|2
Giovanni da Udine|2
Bloemaert, Hendrick|2
Gyokuzan, Okada|2
Keiga, Kawahara|2
Heerschop, Hendrick|2
Hoorn, Jan Claesz ten|2
Daullé, Jean|2
Cramer, Hendrik Willem|2
Elin, Johan Christiaan|2
Janssonius, Johannes|2
Tetar van Elven, Paul|2
Gravelot, Hubert François|2
Suardi, Bartolommeo|2
Tirion, Isaak|2
Meester van de Agrafen|2
Claesz., Jan|2
Aerts, Jan|2
Batoni, Pompeo|2
Sluyter, Dirk|2
Bernardis, Andrea de|2
Swaerdecroon, Bernardus|2
Vinne, Laurens Jacobsz. van der|2
Credi, Lorenzo di|2
Moyreau, Jean|2
Fisscher, H.|2
Coninck, De|2
Thim, Cornelis|2
Keisei, Aoigaoka|2
Reuttimann, Johann Conrad|2
Vivarini, Bartolommeo|2
Walman, Johan|2
Rooker, Michael Angelo|2
Greene, John Beasly|2
Spijck, Frans Anton van|2
Sicciolante, Girolamo|2
Lanino, Bernardino|2
Lely, Johannes van der|2
Grantham|2
Walscapelle, Jacob van|2
Yasuchika|2
Passignano, Domenico|2
Stevens, Pieter (I)|2
Desbordes, Jacques (I)|2
Voet 106|2
Pijzel, A.D.|2
Schijndel, Bernardus van|2
Murphy, John|2
Societ. Bibliopol. Rotterod.|2
Molitor, Martin von|2
Loon, Nicolaas Folkert van|2
Potuyl, Hendrik|2
Monogrammist IMP|2
Ruyter, Nicaise de|2
Kloet, Familie Van der|2
Bruining, F.|2
Hein, Hendrik Jan|2
Gardet, George|2
Bosch, T. van den|2
Hegi, Franz|2
Mieusement, Médéric|2
Wissing, Willem|2
Koichi (Sonsai)|2
Monogrammist BM|2
Xavery, Franciscus Xaverius|2
Greuter, Matthäus|2
Oost, Jacob van (I)|2
Sluyter, Hendrik D. Jzn|2
Abondio, Antonio|2
Neefs, Pieter (I)|2
Pering|2
Sementi, Giacomo|2
Simon, Jan Philip|2
Vinne, Jan Laurensz. van der|2
Koene, Juriaan|2
Kaiser, F.|2
Monogrammist DW (modelmaker)|2
Burke, Thomas|2
Monogrammist TA|2
Dokkum, C. van|2
Arlaud, Benoît|2
Brouwer, Petrus Marius|2
Brakenburg, Richard|2
Kien van Citters, Willem Aarnoud|2
Boortens, Maria|2
Hodgson, Robert|2
Kilburn|2
De Clercq, Louis|2
Netscher, Constantijn|2
Balen, Hendrik van (I)|2
Davis, Edward|2
Nacken, Willem|2
Tanché, Nicolas|2
Muhlenschmidt, F.|2
Moon, Sarah|2
Neyn, Pieter de|2
Claesz, Leendert|2
Rustici, Giovanni Francesco|2
Fortier, A.|2
Rooyen, Gabriël van|2
Guernier, Louis du (I)|2
Vierleger, Hans Bernaert|2
Baert en Zonen, weduwe Alexander|2
Puytlinck, Christoffel|2
Humbert, Jean|2
Haffman, Jacobus|2
Marucelli, Giovanni Stefano|2
Rossum, Jan Cornelis van|2
Hall, John|2
Swinderen, Nicolaas van|2
Penning, Nicolaes Lodewick|2
Jacobsz., Dirk|2
Graauw, Hendrick de|2
Pino, Marco dal|2
Angeluccio|2
Ishizaki Yushi|2
Compe, Jan ten|2
Willmann, Michaël Lukas Leopold|2
Viani, Antonio Maria|2
Druyf, Dirk|2
Moor, Carel Isaak de|2
Nelleman, Jan (I)|2
Lazzarini, Gregorio|2
Writs, Willem|2
Massey, Edward|2
Cressent, Charles|2
Varelen, Jacob Elias van|2
Ligorio, Pirro|2
Buys, Cornelis Cornelisz. (II)|2
Roman, Jan (II)|2
Berghaus, Johann Peter|2
Saly, Jacques Francois Joseph|2
Portail, Jacques André|2
Testelin, Louis|2
Burrows, Robert|2
Karolus|2
Claessens, D.|2
Longhi, Pietro|2
Croon, Teunis Jansz|2
Degault, J.M.|2
Ferguson, William Gowe|2
Montalegre, Joseph de|2
Lockeman, Nicolaes|2
Ligozzi, Giacomo|2
Luttichuys, Isaack|2
Kunimasu, Utagawa|2
Swanenburg, Jacob Isaacsz. van|2
Anthonisz., Aert|2
Das, Kesav|2
Elffers, Johannes|2
Carjat, Etienne|2
Gibson, Richard|2
Rossum, Jan van|2
Bruyn, Bartholomäus (I)|2
Kouwenhoven, Jacob van|2
Parsons|2
Manzador, Ignaz|2
Oster, H.|2
Maler, Christian|2
Beek, J. van der|2
Boone, Daniel|2
Duyn|2
Oeben, Jean François|2
